chunk,season,n,chunk_min_date,chunk_max_date,train_max_date,xfg_log_loss,xfg_brier,xfg_auc,xfg_frozen_log_loss,xfg_frozen_brier,xfg_frozen_auc,xfg_zone_log_loss,xfg_zone_brier,xfg_zone_auc
67,2024-25,6146,20250219,20250223,20250213,0.6375284790992737,0.2241232842206955,0.6539664961591871,0.6390832662582397,0.22479301691055298,0.6502493159193048,0.6605670216023326,0.23396569805803527,0.629849355762977
68,2024-25,9683,20250224,20250302,20250223,0.638099730014801,0.22493122518062592,0.6584029205875744,0.6407728791236877,0.22622913122177124,0.6482998028850071,0.6583138659447528,0.23288378251753755,0.6366274226844213
69,2024-25,9749,20250303,20250309,20250302,0.639864981174469,0.22554078698158264,0.6569179554481774,0.6430450677871704,0.227028951048851,0.6460261951899585,0.6599233156652319,0.23379214679535637,0.6378124327238357
70,2024-25,9994,20250310,20250316,20250309,0.6456428170204163,0.2278643250465393,0.6452068936090402,0.6476782560348511,0.22878903150558472,0.638281243687844,0.6627266339079025,0.23504806752099508,0.6266377539016738
71,2024-25,9334,20250317,20250323,20250316,0.6428462862968445,0.2269575595855713,0.6515400141459796,0.6454923152923584,0.22820954024791718,0.6406572015112046,0.6634883063429209,0.23543582720615092,0.6290638006681963
72,2024-25,9223,20250324,20250330,20250323,0.6401044726371765,0.22569899260997772,0.6491206112485001,0.6425442695617676,0.2268633097410202,0.6398818193176969,0.6624244883159148,0.23479235602756132,0.628929631454497
73,2024-25,10004,20250331,20250406,20250330,0.6393380165100098,0.22505153715610504,0.6574708053335387,0.641451895236969,0.22602145373821259,0.6518178790906064,0.6578981724321695,0.23288283573301372,0.6377759507199604
74,2024-25,10307,20250407,20250413,20250406,0.6398378610610962,0.22547681629657745,0.6529124873922385,0.6418192982673645,0.2263556718826294,0.6468221069440602,0.6600480343273125,0.2338104456088422,0.6351189099030847
75,2025-26,7486,20251021,20251026,20250413,0.6405043601989746,0.225398451089859,0.6576533469787482,0.6425113081932068,0.22633109986782074,0.649077949074079,0.6597444321699554,0.23340742884210777,0.6336380618207527
76,2025-26,9231,20251027,20251102,20251026,0.636951744556427,0.22394275665283203,0.662109234774301,0.6384468674659729,0.22466549277305603,0.6581454039065452,0.6574654664358094,0.23224630429484816,0.6405372371147231
77,2025-26,9419,20251103,20251109,20251102,0.6336110234260559,0.22258487343788147,0.6635628615986278,0.6353194713592529,0.22340808808803558,0.6581767208052067,0.6542556022843965,0.23082887030562801,0.6391177865419293
78,2025-26,9367,20251110,20251116,20251109,0.6427923440933228,0.2265734225511551,0.6529859981589465,0.6459857225418091,0.22806721925735474,0.6424549495413436,0.662015989035475,0.23446669014883692,0.6300356215377805
79,2025-26,9070,20251117,20251123,20251116,0.6401722431182861,0.22570131719112396,0.6531154485934594,0.6430157423019409,0.2270112931728363,0.646694679248331,0.6620231136742808,0.23464145086361568,0.6316107975840269
80,2025-26,8753,20251124,20251130,20251123,0.6389751434326172,0.2248951494693756,0.6585053519064044,0.6413803100585938,0.22602270543575287,0.6508803741343676,0.660772460548048,0.23404374818993287,0.6351213772613807
81,2025-26,9716,20251201,20251207,20251130,0.6395800113677979,0.22567428648471832,0.652921902456375,0.6412020325660706,0.22642165422439575,0.6483852691819693,0.6615910538427925,0.23441024143550582,0.6294732729193542
82,2025-26,5048,20251208,20251214,20251207,0.6428807973861694,0.22638529539108276,0.6579119492814963,0.6456530690193176,0.22763612866401672,0.6480369316464114,0.6609652077186348,0.23411289276385286,0.6325297875476148
83,2025-26,7309,20251215,20251221,20251214,0.6383113861083984,0.2246241718530655,0.6593956837415247,0.6409033536911011,0.2257903665304184,0.6500982440060837,0.6582962923633667,0.23276057937943234,0.6387807122679143
84,2025-26,8982,20251222,20251228,20251221,0.6413868069648743,0.22587411105632782,0.6575137467496839,0.6441799402236938,0.2271902710199356,0.6497157961385848,0.65904578866066,0.2331779501145311,0.6344325017692851
